n,scalar_ns,simd1_ns,simd2_ns,scalar_ns_per_limb,simd1_ns_per_limb,simd2_ns_per_limb,simd1_speedup,simd2_speedup,simd2_over_simd1
1832,727.178295,535.746786,2533.461349,0.396931384,0.292438202,1.382893749,1.357317,0.287030,0.211468
1840,730.349322,537.618214,2574.663007,0.396928979,0.292183812,1.399273373,1.358491,0.283668,0.208811
1848,732.947510,540.980963,2556.200169,0.396616618,0.292738616,1.383225200,1.354849,0.286733,0.211635
1856,736.299316,542.346821,2600.363176,0.396712994,0.292212727,1.401057746,1.357617,0.283152,0.208566
1864,739.692913,546.266715,2577.053209,0.396830962,0.293061542,1.382539275,1.354087,0.287031,0.211973
1872,743.777559,547.122456,2626.745660,0.397317072,0.292266269,1.403176100,1.359435,0.283156,0.208289
1880,745.379960,550.217836,2598.057432,0.396478702,0.292669062,1.381945443,1.354700,0.286899,0.211780
1888,748.725694,551.232091,2643.542535,0.396570813,0.291966150,1.400181427,1.358277,0.283228,0.208520
1896,752.015500,554.029779,2620.869792,0.396632648,0.292209799,1.382315291,1.357356,0.286934,0.211392
1904,755.273000,556.363351,2664.461806,0.396676996,0.292207642,1.399402209,1.357518,0.283462,0.208809
1912,757.497984,558.724516,2643.724826,0.396180954,0.292219935,1.382701269,1.355763,0.286527,0.211340
1920,761.253024,560.833705,2686.127679,0.396485950,0.292100888,1.399024833,1.357360,0.283402,0.208789
1928,763.826982,564.560629,2665.312500,0.396175820,0.292821903,1.382423496,1.352958,0.286581,0.211818
1936,768.143293,565.333584,2708.117857,0.396768230,0.292011149,1.398821207,1.358743,0.283645,0.208755
1944,771.319672,568.727652,2687.483929,0.396769379,0.292555376,1.382450581,1.356220,0.287004,0.211621
1952,774.101434,569.576136,2733.571429,0.396568358,0.291791053,1.400395199,1.359083,0.283183,0.208363
1960,776.772211,572.424162,2710.385714,0.396312352,0.292053144,1.382849854,1.356987,0.286591,0.211197
1968,779.331612,574.179116,2755.598214,0.396001835,0.291757681,1.400202345,1.357297,0.282818,0.208368
1976,783.138542,576.990606,2732.955357,0.396325173,0.291999294,1.383074573,1.357281,0.286554,0.211123
1984,786.633333,579.273148,2773.871324,0.396488575,0.291972353,1.398120627,1.357966,0.283587,0.208832
1992,791.255777,582.329581,2752.973214,0.397216756,0.292334127,1.382014666,1.358777,0.287419,0.211528
2000,793.041492,583.899845,2800.828125,0.396520746,0.291949922,1.400414062,1.358181,0.283145,0.208474
2008,798.001059,586.834375,2777.740809,0.397410886,0.292248195,1.383337056,1.359840,0.287284,0.211263
2016,803.261752,588.558984,2822.151654,0.398443329,0.291943941,1.399876813,1.364794,0.284627,0.208550
2024,803.980235,591.452830,2799.872243,0.397223436,0.292219778,1.383336088,1.359331,0.287149,0.211243
2032,807.046474,593.168632,2845.154356,0.397168541,0.291913697,1.400174388,1.360568,0.283656,0.208484
2040,809.491649,596.373022,2823.079044,0.396809632,0.292339717,1.383862277,1.357358,0.286741,0.211249
2048,815.253533,597.639928,2865.398674,0.398073014,0.291816371,1.399120446,1.364122,0.284517,0.208571
2056,817.755978,601.266627,2843.335227,0.397741235,0.292444857,1.382945149,1.360055,0.287604,0.211465
2064,822.079348,602.366386,2888.978220,0.398294258,0.291844179,1.399698750,1.364750,0.284557,0.208505
2072,825.718750,605.149597,2865.910038,0.398512910,0.292060616,1.383161215,1.364487,0.288117,0.211154
2080,827.558114,607.891532,2910.606061,0.397864478,0.292255544,1.399329837,1.361358,0.284325,0.208854
2088,832.887721,611.002841,2888.504735,0.398892587,0.292625882,1.383383494,1.363149,0.288346,0.211529
2096,837.255301,612.595779,2935.226562,0.399453865,0.292268979,1.400394352,1.366734,0.285244,0.208705
2104,839.704799,615.590686,2912.660985,0.399099239,0.292581125,1.384344575,1.364064,0.288295,0.211350
2112,842.785156,617.039885,2955.206055,0.399046002,0.292159036,1.399245291,1.365852,0.285187,0.208798
2120,846.309685,619.877056,2932.531250,0.399202681,0.292394838,1.383269458,1.365286,0.288594,0.211380
2128,847.672297,621.860927,2978.614258,0.398342245,0.292227879,1.399724745,1.363122,0.284586,0.208775
