n,pos_simd_ns,neg_scalar_ns,pos_simd_ns_per_limb,neg_scalar_ns_per_limb,neg_over_pos
2608,312.726250,1038.263049,0.119910372,0.398106997,3.320038
2616,315.803030,1044.497222,0.120719813,0.399272638,3.307433
2624,314.015782,1044.965972,0.119670649,0.398233983,3.327750
2632,314.517349,1047.781944,0.119497473,0.398093444,3.331396
2640,317.920763,1050.781597,0.120424531,0.398023332,3.305168
2648,319.212691,1052.643056,0.120548599,0.397523813,3.297623
2656,317.332348,1057.283006,0.119477541,0.398073421,3.331785
2664,318.699364,1060.656952,0.119631894,0.398144502,3.328080
2672,318.913903,1067.763494,0.119354006,0.399612086,3.348125
2680,324.128448,1066.982599,0.120943451,0.398127836,3.291851
2688,322.417526,1069.450284,0.119946996,0.397860969,3.316973
2696,322.554983,1072.337358,0.119642056,0.397751246,3.324510
2704,323.900000,1077.124290,0.119785503,0.398344782,3.325484
2712,323.779310,1078.890805,0.119387651,0.397821093,3.332180
2720,325.597005,1082.723060,0.119704781,0.398059949,3.325347
2728,326.226345,1085.205101,0.119584437,0.397802456,3.326540
2736,330.319322,1090.683866,0.120730746,0.398641764,3.301908
2744,327.861888,1093.281977,0.119483195,0.398426376,3.334581
2752,329.483772,1097.038881,0.119725208,0.398633314,3.329569
2760,337.453013,1130.399849,0.122265584,0.409565163,3.349799
2768,336.213262,1098.466933,0.121464329,0.396844990,3.267173
2776,334.390792,1104.670221,0.120457778,0.397935958,3.303531
2784,338.320818,1107.662500,0.121523282,0.397867277,3.274000
2792,339.454197,1111.312868,0.121581016,0.398034695,3.273823
2800,336.549283,1115.235662,0.120196173,0.398298451,3.313737
2808,337.616007,1118.181548,0.120233621,0.398212802,3.311992
2816,337.954362,1120.688616,0.120012202,0.397971810,3.316095
2824,342.994069,1122.582589,0.121456823,0.397515081,3.272892
2832,341.440000,1126.120536,0.120564972,0.397641432,3.298151
2840,344.838235,1130.663404,0.121421914,0.398120917,3.278823
2848,343.316834,1133.005271,0.120546641,0.397824885,3.300174
2856,343.981571,1135.060994,0.120441726,0.397430320,3.299773
2864,344.885340,1140.147214,0.120420859,0.398096094,3.305873
2872,345.829733,1145.130335,0.120414253,0.398722262,3.311255
2880,347.378704,1151.364710,0.120617605,0.399779413,3.314437
2888,352.149110,1150.724848,0.121935288,0.398450432,3.267720
2896,352.918468,1152.489329,0.121864112,0.397959023,3.265597
2904,352.250936,1158.376905,0.121298532,0.398890119,3.288499
2912,351.142673,1159.456790,0.120584709,0.398165106,3.301954
2920,352.092931,1166.343364,0.120579771,0.399432659,3.312601
2928,352.615367,1184.133594,0.120428745,0.404417211,3.358145
2936,360.919832,1186.211719,0.122929098,0.404023065,3.286635
2944,363.981589,1190.293513,0.123635051,0.404311655,3.270203
2952,367.829902,1195.032041,0.124603625,0.404821152,3.248871
2960,368.566422,1196.484177,0.124515683,0.404217627,3.246319
2968,367.501465,1201.610364,0.123821248,0.404855244,3.269675
2976,367.698897,1205.689904,0.123554737,0.405137737,3.279014
2984,373.914592,1207.235978,0.125306499,0.404569698,3.228641
2992,371.904891,1212.708734,0.124299763,0.405317090,3.260803
3000,375.509125,1217.845779,0.125169708,0.405948593,3.243186
3008,370.530389,1218.649351,0.123181645,0.405136087,3.288932
3016,371.878953,1221.693182,0.123302040,0.405070684,3.285190
3024,375.596625,1224.668019,0.124205233,0.404982811,3.260594
3032,374.041584,1227.942776,0.123364638,0.404994319,3.282904
3040,374.799801,1233.742599,0.123289408,0.405836381,3.291738
3048,377.325803,1232.711851,0.123794555,0.404433022,3.266969
3056,378.235005,1236.024671,0.123767999,0.404458335,3.267875
3064,380.163462,1239.696546,0.124074237,0.404600700,3.260957
3072,380.577176,1243.154194,0.123885800,0.404672589,3.266497
3080,379.699140,1249.704359,0.123278941,0.405748168,3.291302
3088,378.199723,1249.794819,0.122474003,0.404726302,3.304589
3096,382.450711,1255.096667,0.123530592,0.405392980,3.281721
3104,378.009789,1257.284167,0.121781504,0.405052889,3.326062
3112,389.000775,1265.275417,0.125000249,0.406579504,3.252630
3120,392.957897,1263.217083,0.125948044,0.404877270,3.214637
3128,390.926042,1265.442500,0.124976356,0.404553229,3.237038
3136,385.586834,1272.378378,0.122954985,0.405732901,3.299849
3144,388.755424,1272.796030,0.123649944,0.404833343,3.274028
3152,390.211618,1277.187922,0.123798102,0.405199214,3.273065
3160,388.768337,1277.707770,0.123027955,0.404337902,3.286553
3168,388.983988,1282.825591,0.122785350,0.404932320,3.297888
3176,390.919531,1292.586473,0.123085495,0.406985665,3.306528
