n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
50,3.907362,0.999387,1.609509,3.909761,2.427673,0.620926
51,3.924632,0.988051,1.700368,3.972093,2.308108,0.581081
52,4.007227,1.097807,1.723420,3.650209,2.325160,0.636994
53,3.944805,1.166074,1.803786,3.382979,2.186959,0.646460
54,3.964312,1.218727,1.850625,3.252830,2.142147,0.658549
55,3.961916,1.269656,1.901720,3.120464,2.083333,0.667636
56,3.996759,1.081519,1.947468,3.695505,2.052285,0.555346
57,4.026500,1.065513,2.016010,3.778929,1.997262,0.528526
58,4.026963,1.048239,2.067131,3.841645,1.948092,0.507098
59,4.034635,1.030766,2.086404,3.914209,1.933775,0.494040
60,3.989890,1.059743,2.098346,3.764961,1.901445,0.505037
61,3.988561,1.114815,2.131453,3.577778,1.871287,0.523031
62,3.975440,1.172104,2.196664,3.391712,1.809762,0.533584
63,3.989927,1.219780,2.229853,3.271021,1.789322,0.547023
64,4.028320,1.086731,0.714111,3.706824,5.641026,1.521795
65,4.025641,1.070513,0.704212,3.760479,5.716515,1.520156
66,4.034091,1.053886,0.697397,3.827826,5.784494,1.511170
67,4.061047,1.045082,0.684487,3.885865,5.932976,1.526810
68,4.084559,1.063419,0.674632,3.840968,6.054496,1.576294
69,4.051216,1.107222,0.665070,3.658902,6.091413,1.664820
70,4.055861,1.153846,0.702381,3.515079,5.774446,1.642764
71,4.077465,1.196877,0.748622,3.406754,5.446626,1.598773
72,4.096608,1.141224,0.770649,3.589661,5.315789,1.480861
73,4.109589,1.125550,0.810910,3.651182,5.067873,1.388009
74,4.111179,1.110258,0.847666,3.702905,4.850000,1.309783
75,4.109174,1.098165,0.981651,3.741855,4.185981,1.118692
76,4.126291,1.115039,1.067081,3.700579,3.866897,1.044944
77,4.136854,1.153210,1.093482,3.587251,3.783193,1.054622
78,4.129121,1.176740,1.154762,3.508949,3.575734,1.019033
79,4.125599,1.207447,1.194543,3.416794,3.453704,1.010802
80,4.156250,1.194853,1.215074,3.478462,3.420575,0.983359
81,4.156582,1.183535,1.276128,3.512006,3.257184,0.927443
82,4.148189,1.169623,1.314671,3.546603,3.155306,0.889670
83,4.167691,1.155336,1.363720,3.607342,3.056119,0.847194
84,4.184462,1.142305,1.379786,3.663175,3.032688,0.827885
85,4.170956,1.147978,1.453125,3.633307,2.870335,0.790006
86,4.181457,1.200734,1.470624,3.482416,2.843321,0.816479
87,4.193874,1.240829,1.511372,3.379897,2.774879,0.820995
88,4.189883,1.247251,1.535007,3.359295,2.729552,0.812537
89,4.207987,1.235650,1.596544,3.405486,2.635686,0.773953
90,4.200549,1.223443,1.617216,3.433383,2.597395,0.756512
91,4.213370,1.209707,1.649267,3.482967,2.554692,0.733481
92,4.218063,1.197179,1.676234,3.523336,2.516393,0.714208
93,4.230205,1.188600,1.705462,3.558982,2.480387,0.696937
94,4.216801,1.182135,1.754402,3.567106,2.403555,0.673811
95,4.221848,1.230110,1.785496,3.432090,2.364524,0.688946
96,4.242647,1.288603,0.738971,3.292439,5.741294,1.743781
