n,scalar_ns,simd_ns,scalar_ns_per_limb,simd_ns_per_limb,speedup
2328,933.367884,695.315972,0.400931222,0.298675246,1.342365
2336,958.419962,717.570372,0.410282518,0.307179098,1.335646
2344,965.836735,695.732639,0.412046389,0.296814266,1.388230
2352,937.198020,678.780351,0.398468546,0.288597088,1.380709
2360,944.829687,684.018116,0.400351562,0.289838185,1.381293
2368,948.344381,685.956889,0.400483269,0.289677740,1.382513
2376,952.855114,687.492016,0.401033297,0.289348492,1.385987
2384,957.648278,693.091452,0.401698103,0.290726280,1.381706
2392,958.461416,692.053079,0.400694572,0.289319849,1.384954
2400,969.331508,705.407660,0.403888128,0.293919858,1.374144
2408,980.157878,707.656250,0.407042308,0.293877180,1.385076
2416,986.616211,713.698864,0.408367637,0.295405159,1.382398
2424,992.577303,715.779103,0.409479085,0.295288409,1.386709
2432,995.836842,719.994036,0.409472386,0.296050179,1.383118
2440,1000.616689,721.893029,0.410088807,0.295857799,1.386101
2448,998.429189,721.484375,0.407855061,0.294724009,1.383854
2456,999.150598,724.522837,0.406820276,0.295001155,1.379046
2464,1006.750332,728.208576,0.408583739,0.295539195,1.382503
2472,1012.578629,724.292067,0.409619187,0.292998409,1.398025
2480,1004.247008,729.082849,0.404938310,0.293985020,1.377411
2488,1012.723454,730.846415,0.407043189,0.293748559,1.385686
2496,1019.862432,738.232037,0.408598731,0.295766041,1.381493
2504,1022.899117,738.640502,0.408506037,0.294984226,1.384840
2512,1027.338655,744.919395,0.408972394,0.296544345,1.379127
2520,1033.137019,744.780506,0.409975008,0.295547820,1.387170
2528,1031.845810,747.009921,0.408166855,0.295494431,1.381301
2536,1033.758585,748.629464,0.407633512,0.295200893,1.380868
2544,1039.747596,750.363750,0.408705816,0.294954304,1.385658
2552,1039.740385,751.633500,0.407421781,0.294527234,1.383308
2560,1044.435764,755.143500,0.407982720,0.294977930,1.383096
2568,1048.414583,757.775958,0.408261131,0.295084096,1.383542
2576,1053.727177,760.691784,0.409055581,0.295299606,1.385222
2584,1054.113764,765.280742,0.407938763,0.296161278,1.377421
2592,1059.454003,766.579014,0.408739970,0.295748076,1.382055
2600,1061.859199,767.204014,0.408407384,0.295078467,1.384064
2608,1066.109730,772.416752,0.408784406,0.296172068,1.380226
2616,1068.386009,771.784068,0.408404438,0.295024491,1.384307
2624,1071.798651,775.112603,0.408459852,0.295393523,1.382765
2632,1074.731889,775.938791,0.408332785,0.294809571,1.385073
2640,1077.882543,779.257231,0.408288842,0.295173194,1.383218
2648,1080.616020,780.052944,0.408087621,0.294581928,1.385311
2656,1086.593032,786.475000,0.409108822,0.296112575,1.381599
2664,1091.804142,787.383854,0.409836390,0.295564510,1.386622
2672,1092.323765,789.654674,0.408803804,0.295529444,1.383293
2680,1091.295422,788.950893,0.407199784,0.294384662,1.383224
2688,1099.648983,796.836600,0.409095604,0.296442187,1.380018
2696,1103.222426,797.246822,0.409207131,0.295714697,1.383790
2704,1105.678309,798.708951,0.408904700,0.295380529,1.384332
2712,1106.759191,799.704449,0.408097047,0.294876272,1.383960
2720,1106.590074,804.261485,0.406834586,0.295684370,1.375908
2728,1113.365441,805.703526,0.408125162,0.295345867,1.381855
2736,1115.688971,808.802532,0.407781057,0.295614961,1.379433
2744,1118.785342,809.260776,0.407720606,0.294920108,1.382478
2752,1123.383185,812.393588,0.408206099,0.295201159,1.382807
2760,1125.470610,813.605873,0.407779207,0.294784737,1.383312
2768,1127.583705,816.194293,0.407364055,0.294867881,1.381514
2776,1130.739834,815.718750,0.407327030,0.293846812,1.386188
2784,1135.144955,820.463043,0.407738849,0.294706553,1.383542
2792,1139.727033,821.775815,0.408211688,0.294332312,1.386907
2800,1138.951054,825.938596,0.406768234,0.294978070,1.378978
2808,1144.544588,827.186129,0.407601349,0.294581955,1.383660
2816,1152.566311,831.588496,0.409292014,0.295308415,1.385982
2824,1152.795351,832.042312,0.408213651,0.294632547,1.385501
2832,1155.485518,834.600387,0.408010423,0.294703527,1.384478
2840,1158.443287,836.262168,0.407902566,0.294458510,1.385263
2848,1162.015818,839.030413,0.408011172,0.294603375,1.384951
2856,1166.120756,839.993025,0.408305587,0.294115205,1.388251
2864,1169.079861,844.857827,0.408198276,0.294992258,1.383759
2872,1170.630401,844.144810,0.407601115,0.293922288,1.386765
2880,1175.115234,848.784910,0.408026123,0.294716983,1.384468
2888,1176.380859,849.164977,0.407334093,0.294032194,1.385338
2896,1180.798828,852.859375,0.407734402,0.294495641,1.384518
2904,1184.001953,854.467330,0.407714171,0.294238061,1.385661
2912,1187.320016,858.217330,0.407733522,0.294717490,1.383472
2920,1191.283623,861.251433,0.407973844,0.294949121,1.383201
2928,1196.943829,866.133888,0.408792291,0.295810754,1.381939
2936,1199.974288,866.627007,0.408710589,0.295172686,1.384649
2944,1204.356971,871.847512,0.409088645,0.296143856,1.381385
2952,1210.695112,871.309317,0.410127071,0.295158983,1.389512
2960,1210.975561,874.732060,0.409113365,0.295517588,1.384396
2968,1211.756811,877.142231,0.408273858,0.295533097,1.381483
2976,1221.617289,879.507886,0.410489680,0.295533564,1.388978
2984,1224.088880,882.329147,0.410217453,0.295686712,1.387338
2992,1225.200893,884.133762,0.409492277,0.295499252,1.385764
3000,1226.507711,890.322524,0.408835904,0.296774175,1.377599
3008,1229.709416,888.925413,0.408812971,0.295520416,1.383366
3016,1233.567434,888.946050,0.409007770,0.294743385,1.387674
3024,1236.161595,892.227005,0.408783596,0.295048613,1.385479
3032,1237.571957,894.227679,0.408170171,0.294929973,1.383956
3040,1239.923931,897.016369,0.407869714,0.295071174,1.382276
3048,1242.814145,898.105655,0.407747423,0.294654086,1.383817
3056,1246.736842,902.587798,0.407963626,0.295349410,1.381291
3064,1248.101974,900.507143,0.407343986,0.293899198,1.385999
3072,1252.152083,904.698017,0.407601590,0.294498052,1.384055
3080,1257.181250,905.533053,0.408175731,0.294004238,1.388333
3088,1258.430833,912.225425,0.407522938,0.295409788,1.379517
3096,1260.547917,912.137439,0.407153720,0.294618036,1.381971
3104,1265.355833,913.654430,0.407653297,0.294347432,1.384939
3112,1268.435389,916.190837,0.407594919,0.294405796,1.384466
3120,1270.779139,919.584865,0.407301006,0.294738739,1.381905
3128,1274.368666,920.614277,0.407406862,0.294314027,1.384259
3136,1277.315878,923.993566,0.407307359,0.294640806,1.382386
3144,1279.406250,923.429534,0.406935830,0.293711684,1.385494
3152,1285.669949,927.789216,0.407890212,0.294349370,1.385735
3160,1288.319777,929.583849,0.407696132,0.294172104,1.385910
3168,1291.590325,932.823329,0.407698966,0.294451808,1.384603
