an,bn,ratio,gmp_ns,simd_ns,speedup
14,11,0.8000,49.4,27.4,1.8039
14,14,1.0000,62.8,32.3,1.9421
15,2,0.1250,9.7,22.6,0.4312
15,3,0.2000,14.4,23.5,0.6134
15,4,0.2500,19.2,22.1,0.8683
15,5,0.3333,24.0,25.1,0.9540
15,6,0.4000,28.9,25.1,1.1492
15,8,0.5000,38.4,27.9,1.3727
15,10,0.6500,47.9,27.8,1.7271
15,12,0.8000,57.4,29.7,1.9315
15,15,1.0000,71.6,32.8,2.1836
16,2,0.1250,10.2,22.6,0.4511
16,3,0.2000,15.3,21.4,0.7172
16,4,0.2500,20.4,24.2,0.8416
16,5,0.3333,25.6,25.3,1.0117
16,6,0.4000,30.5,25.1,1.2161
16,8,0.5000,40.6,28.0,1.4467
16,10,0.6500,50.7,27.2,1.8616
16,13,0.8000,66.0,30.7,2.1502
16,16,1.0000,81.4,32.7,2.4912
17,2,0.1250,10.6,20.9,0.5100
17,3,0.2000,16.0,23.7,0.6765
17,4,0.2500,21.4,24.3,0.8813
17,6,0.3333,32.1,25.3,1.2700
17,7,0.4000,37.3,27.9,1.3372
17,9,0.5000,48.0,27.2,1.7671
17,11,0.6500,58.0,30.4,1.9073
17,14,0.8000,74.1,32.4,2.2867
17,17,1.0000,90.4,35.2,2.5691
18,2,0.1250,11.2,22.2,0.5046
18,4,0.2000,22.3,23.9,0.9335
18,5,0.2500,28.1,25.2,1.1153
18,6,0.3333,33.9,25.0,1.3552
18,7,0.4000,39.7,26.8,1.4819
18,9,0.5000,50.9,30.0,1.6973
18,12,0.6500,67.8,32.9,2.0596
18,14,0.8000,79.0,31.1,2.5358
18,18,1.0000,101.4,38.4,2.6427
19,2,0.1250,11.9,22.5,0.5285
19,4,0.2000,23.8,24.1,0.9888
19,5,0.2500,29.7,25.3,1.1718
19,6,0.3333,35.8,24.1,1.4821
19,8,0.4000,47.6,28.7,1.6603
19,10,0.5000,59.4,31.5,1.8885
19,12,0.6500,71.3,33.0,2.1581
19,15,0.8000,89.1,34.6,2.5790
19,19,1.0000,112.7,38.5,2.9262
20,3,0.1250,18.8,24.8,0.7605
20,4,0.2000,25.0,25.3,0.9873
20,5,0.2500,31.1,25.2,1.2385
20,7,0.3333,43.7,30.9,1.4148
20,8,0.4000,49.9,30.9,1.6157
20,10,0.5000,62.3,31.8,1.9616
20,13,0.6500,81.0,33.6,2.4121
20,16,0.8000,99.4,36.7,2.7126
20,20,1.0000,124.3,42.1,2.9502
21,3,0.1250,19.4,24.5,0.7939
21,4,0.2000,26.0,25.1,1.0344
21,5,0.2500,32.6,24.4,1.3381
21,7,0.3333,45.7,30.5,1.4959
21,8,0.4000,52.2,31.1,1.6766
21,11,0.5000,71.6,31.0,2.3115
21,14,0.6500,91.2,36.7,2.4866
21,17,0.8000,110.6,38.0,2.9128
21,21,1.0000,136.7,43.8,3.1241
22,3,0.1250,20.3,22.4,0.9079
22,4,0.2000,27.1,22.7,1.1969
22,6,0.2500,40.6,28.0,1.4496
22,7,0.3333,47.6,30.8,1.5472
22,9,0.4000,61.0,31.5,1.9353
22,11,0.5000,74.5,34.3,2.1746
