ratio,an,bn,ns_call
1.0000,1792,1792,17434.6
1.0000,1796,1796,18712.4
1.0000,1800,1800,18707.9
1.0000,1804,1804,18698.2
1.0000,1808,1808,18720.2
1.0000,1812,1812,18712.3
1.0000,1816,1816,18692.6
1.0000,1820,1820,18694.8
1.0000,1824,1824,18706.4
1.0000,1828,1828,18724.8
1.0000,1832,1832,18760.8
1.0000,1836,1836,18749.9
1.0000,1840,1840,18744.1
1.0000,1844,1844,18746.2
1.0000,1848,1848,18735.0
1.0000,1852,1852,18769.5
1.0000,1856,1856,18729.9
1.0000,1860,1860,18761.8
1.0000,1864,1864,18738.5
1.0000,1868,1868,18751.4
1.0000,1872,1872,18754.6
1.0000,1876,1876,18776.7
1.0000,1880,1880,18746.0
1.0000,1884,1884,18755.3
1.0000,1888,1888,18761.3
1.0000,1892,1892,18737.9
1.0000,1896,1896,18755.4
1.0000,1900,1900,18736.0
1.0000,1904,1904,18767.5
1.0000,1908,1908,18805.0
1.0000,1912,1912,18773.5
1.0000,1916,1916,18775.0
1.0000,1920,1920,18781.3
1.0000,1924,1924,18773.3
1.0000,1928,1928,18743.0
1.0000,1932,1932,18782.2
1.0000,1936,1936,18741.0
1.0000,1940,1940,18763.6
1.0000,1944,1944,18737.3
1.0000,1948,1948,18729.7
1.0000,1952,1952,18752.9
1.0000,1956,1956,18754.2
1.0000,1960,1960,18795.7
1.0000,1964,1964,18791.5
1.0000,1968,1968,18760.3
1.0000,1972,1972,18753.5
1.0000,1976,1976,18764.1
1.0000,1980,1980,18756.6
1.0000,1984,1984,18773.0
1.0000,1988,1988,18755.6
1.0000,1992,1992,18746.6
1.0000,1996,1996,18796.7
1.0000,2000,2000,18753.8
1.0000,2004,2004,18758.5
1.0000,2008,2008,18755.2
1.0000,2012,2012,18745.6
1.0000,2016,2016,18720.3
1.0000,2020,2020,18750.2
1.0000,2024,2024,18729.0
1.0000,2028,2028,18739.6
1.0000,2032,2032,18766.0
1.0000,2036,2036,18733.5
1.0000,2040,2040,18761.4
1.0000,2044,2044,18753.4
1.0000,2048,2048,18759.3
1.0000,2052,2052,25248.0
1.0000,2056,2056,25183.8
1.0000,2060,2060,25170.6
1.0000,2064,2064,25235.4
1.0000,2068,2068,25245.0
1.0000,2072,2072,25219.2
1.0000,2076,2076,25237.8
1.0000,2080,2080,25232.3
1.0000,2084,2084,25215.8
1.0000,2088,2088,25205.3
1.0000,2092,2092,25205.5
1.0000,2096,2096,25222.6
1.0000,2100,2100,25193.2
1.0000,2104,2104,25198.7
1.0000,2108,2108,25249.9
1.0000,2112,2112,25190.9
1.0000,2116,2116,25202.7
1.0000,2120,2120,25189.6
1.0000,2124,2124,25212.9
1.0000,2128,2128,25263.0
1.0000,2132,2132,25294.5
1.0000,2136,2136,25247.9
1.0000,2140,2140,25220.6
1.0000,2144,2144,25236.5
1.0000,2148,2148,25219.6
1.0000,2152,2152,25220.1
1.0000,2156,2156,25238.4
1.0000,2160,2160,25288.8
1.0000,2164,2164,25242.3
1.0000,2168,2168,25271.2
1.0000,2172,2172,25254.1
1.0000,2176,2176,25273.2
1.0000,2180,2180,25313.7
1.0000,2184,2184,25278.5
1.0000,2188,2188,25224.8
1.0000,2192,2192,25253.0
1.0000,2196,2196,25221.3
1.0000,2200,2200,25233.9
1.0000,2204,2204,25238.9
1.0000,2208,2208,25242.5
1.0000,2212,2212,25262.1
1.0000,2216,2216,25255.0
1.0000,2220,2220,25232.7
1.0000,2224,2224,25275.5
1.0000,2228,2228,25213.0
1.0000,2232,2232,25271.5
1.0000,2236,2236,25216.0
1.0000,2240,2240,25228.9
1.0000,2244,2244,25214.9
1.0000,2248,2248,25248.8
1.0000,2252,2252,25260.4
1.0000,2256,2256,25210.9
1.0000,2260,2260,25229.9
1.0000,2264,2264,25239.0
1.0000,2268,2268,25267.2
1.0000,2272,2272,25236.2
1.0000,2276,2276,25227.8
1.0000,2280,2280,25248.2
1.0000,2284,2284,25295.9
1.0000,2288,2288,25281.4
1.0000,2292,2292,25246.3
1.0000,2296,2296,25237.6
1.0000,2300,2300,25229.3
1.0000,2304,2304,25281.0
1.0000,2308,2308,25247.0
1.0000,2312,2312,25234.9
1.0000,2316,2316,25255.9
1.0000,2320,2320,25252.8
1.0000,2324,2324,25224.3
1.0000,2328,2328,25273.7
