n,current_add_ns,stream_add_ns,current_sub_ns,stream_sub_ns,current_add_ns_per_limb,stream_add_ns_per_limb,current_sub_ns_per_limb,stream_sub_ns_per_limb,reps
141,19.630787309,22.767081475,18.709957727,20.142890689,0.139225441908,0.161468662940,0.132694735650,0.142857380775,8510
142,19.659881657,22.782284768,18.752454169,20.259846245,0.138449870823,0.160438625128,0.132059536402,0.142674973555,8450
143,19.739845146,22.894605216,18.871532325,20.306584117,0.138040875146,0.160102134379,0.131968757519,0.142004084735,8391
144,19.243943392,20.500659393,18.714662827,20.300083923,0.133638495776,0.142365690232,0.129962936298,0.140972805019,8333
145,19.355952668,23.889667674,18.807464670,21.375362319,0.133489328748,0.164756328784,0.129706652894,0.147416291854,8275
146,19.542259516,23.900911854,18.912583587,21.394919169,0.133851092575,0.163704875713,0.129538243744,0.146540542251,8219
147,19.703463468,23.890085679,19.014441317,21.407765801,0.134037166451,0.162517589655,0.129349940931,0.145631059871,8163
148,20.526075700,23.891079349,19.749353050,21.370639714,0.138689700673,0.161426211820,0.133441574662,0.144396214284,8108
149,20.529550534,23.891620112,19.763193841,21.397244974,0.137782218348,0.160346443703,0.132638884838,0.143605670966,8053
150,20.536625000,23.886056972,19.762838935,21.400699913,0.136910833333,0.159240379810,0.131752259569,0.142671332750,8000
151,20.514785454,23.897661554,19.730590160,21.387749969,0.135859506315,0.158262659298,0.130666159999,0.141640728269,7947
152,20.393590068,21.601240978,19.582647245,21.406404253,0.134168355713,0.142113427484,0.128833205560,0.140831606925,7894
153,20.581155170,24.905314133,19.938543925,22.531489036,0.134517354054,0.162779830933,0.130317280552,0.147264634224,7843
154,20.737524054,24.933282012,28.716247433,22.650974859,0.134659247103,0.161904428648,0.186469139177,0.147084252331,7792
155,21.131895104,25.020002581,20.221835075,22.609661586,0.136334807123,0.161419371490,0.130463452100,0.145868784427,7741
156,22.069664674,25.067212689,20.930326271,22.599558097,0.141472209447,0.160687260824,0.134168758145,0.144868962162,7692
157,21.935947712,24.909459636,21.024310548,22.631372549,0.139719412181,0.158658978575,0.133912806036,0.144148869739,7643
158,22.049763033,24.714755825,20.775641870,22.417127072,0.139555462235,0.156422505219,0.131491404238,0.141880551087,7594
159,21.836777954,24.803524112,20.850669140,22.643585330,0.137338226128,0.155997006996,0.131136283900,0.142412486354,7547
160,21.074503532,22.612280234,20.409600000,22.340794031,0.131715647075,0.141326751465,0.127560000000,0.139629962697,7500
161,21.271009248,25.514688129,20.316382665,23.359651475,0.132118069864,0.158476323781,0.126188712203,0.145091002947,7453
162,21.376416622,25.722784298,20.692577598,23.511740891,0.131953189023,0.158782619123,0.127731960480,0.145134203029,7407
163,21.754819441,25.717329353,20.874830301,23.518543676,0.133465149943,0.157775026704,0.128066443567,0.144285544025,7361
164,22.494056565,25.842234667,21.708526920,23.527049180,0.137158881495,0.157574601630,0.132369066585,0.143457616953,7317
165,22.606318681,25.860225399,21.700481100,23.613586359,0.137007992008,0.156728638779,0.131518067271,0.143112644598,7272
166,22.587341072,25.868861530,21.674820343,23.599087263,0.136068319713,0.155836515241,0.130571206884,0.142163176284,7228
167,22.590118302,25.892782645,21.764427757,23.597579636,0.135270169473,0.155046602665,0.130325914712,0.141302872069,7185
168,22.213795998,23.860839161,21.480414102,23.628391608,0.132224976180,0.142028804529,0.127859607749,0.140645188145,7142
169,22.548232643,26.963103788,21.844507042,24.699985921,0.133421494931,0.159544992830,0.129257438120,0.146153762849,7100
170,22.691197283,26.830549264,21.937154989,24.686066270,0.133477631075,0.157826760376,0.129042088173,0.145212154530,7058
171,23.082371384,26.713370355,22.009824861,24.389608541,0.134984627975,0.156218540085,0.128712426089,0.142629289713,7017
