shape,an52,bn52,u52_ns,ref_core_ns,ref_full_ns,u52_ns_per_digit_product,ref_core_ns_per_digit_product,ref_full_ns_per_digit_product
an=2bn,66,33,145.630483,200.005597,255.633941,0.066864317,0.091829934,0.117370955
an=2bn,68,34,149.427548,205.112036,260.835069,0.064631292,0.088716279,0.112817937
an=2bn,70,35,159.896561,214.611914,271.605311,0.065263902,0.087596699,0.110859310
an=2bn,72,36,166.692218,218.627112,280.803050,0.064310269,0.084346880,0.108334510
an=2bn,74,37,176.398379,237.724684,297.683730,0.064425997,0.086824209,0.108723057
an=2bn,76,38,187.019298,240.865545,305.418465,0.064757375,0.083402197,0.105754316
an=2bn,78,39,195.469727,246.249590,313.723244,0.064256978,0.080949898,0.103130587
an=2bn,80,40,203.853397,255.455637,316.745249,0.063704186,0.079829887,0.098982890
an=2bn,82,41,211.272963,281.266093,352.953360,0.062841453,0.083660349,0.104983153
an=2bn,84,42,223.241890,285.060030,354.633726,0.063277180,0.080799328,0.100519764
an=2bn,86,43,233.966256,288.511635,365.239300,0.063268322,0.078018290,0.098766712
an=2bn,88,44,245.196638,302.277532,375.939375,0.063325578,0.078067544,0.097091781
an=2bn,90,45,257.494435,318.895196,388.277763,0.063578873,0.078739554,0.095871053
an=2bn,92,46,258.763946,320.699979,404.900593,0.061144600,0.075779768,0.095675943
an=2bn,94,47,259.956458,321.073523,407.064123,0.058840303,0.072673953,0.092137647
an=2bn,96,48,266.946378,337.421763,417.440417,0.057931072,0.073225209,0.090590368
an=2bn,98,49,277.921783,354.591156,439.478388,0.057876256,0.073842390,0.091519864
an=2bn,100,50,289.523920,361.168269,448.092560,0.057904784,0.072233654,0.089618512
an=2bn,102,51,300.275060,377.968373,462.754310,0.057723003,0.072658280,0.088956999
an=2bn,104,52,325.052119,388.914385,481.806571,0.060105791,0.071914642,0.089091452
an=2bn,106,53,340.601902,408.044293,497.829200,0.060626896,0.072631594,0.088613243
an=2bn,108,54,347.828819,419.991629,507.284966,0.059641430,0.072015026,0.086983019
an=2bn,110,55,363.092302,424.206926,520.661430,0.060015257,0.070116847,0.086059740
an=2bn,112,56,375.716375,440.981661,536.326250,0.059903759,0.070309576,0.085511201
an=2bn,114,57,390.755599,465.882116,557.831546,0.060134749,0.071696232,0.085846652
an=2bn,116,58,397.820312,473.720486,569.216098,0.059129060,0.070410298,0.084604057
an=2bn,118,59,415.378595,485.830959,584.950699,0.059663688,0.069783246,0.084020497
an=2bn,120,60,424.869768,503.443349,597.243631,0.059009690,0.069922687,0.082950504
an=2bn,122,61,433.349366,517.077953,617.919819,0.058230229,0.069481047,0.083031419
an=2bn,124,62,447.955357,532.208333,629.511955,0.058266826,0.069225850,0.081882408
an=2bn,126,63,458.138872,536.346071,644.381635,0.057714648,0.067566902,0.081176825
an=2bn,128,64,471.959956,557.494268,661.481294,0.057612299,0.068053499,0.080747228
an=2bn,130,65,499.374834,578.490031,686.690237,0.059097613,0.068460359,0.081265117
an=2bn,132,66,506.251008,590.205582,700.070896,0.058109620,0.067746279,0.080357082
an=2bn,134,67,514.984802,604.030248,708.540883,0.057360749,0.067278932,0.078919680
an=2bn,136,68,510.501189,609.825487,715.241714,0.055201253,0.065941337,0.077340151
an=2bn,138,69,523.440799,623.369826,737.054932,0.054971728,0.065466270,0.077405475
an=2bn,140,70,543.556358,638.057823,746.626984,0.055464935,0.065107941,0.076186427
an=2bn,142,71,557.401627,646.612284,762.027722,0.055286811,0.064135319,0.075582992
an=2bn,144,72,573.610899,667.189716,778.178202,0.055325125,0.064350860,0.075055768
an=2bn,146,73,592.184552,691.965074,809.957705,0.055562446,0.064924477,0.075995281
an=2bn,148,74,600.987580,702.316231,823.541118,0.054874688,0.064126756,0.075195500
an=2bn,150,75,617.505551,721.488702,840.500558,0.054889382,0.064132329,0.074711161
an=2bn,152,76,631.438968,729.625242,849.262950,0.054660575,0.063160080,0.073516530
an=2bn,154,77,652.107205,750.776750,876.607185,0.054993018,0.063313944,0.073925382
an=2bn,156,78,668.961879,763.032510,893.760714,0.054977143,0.062708129,0.073451735
an=2bn,158,79,683.259284,783.572396,903.456731,0.054739568,0.062776189,0.072380767
an=2bn,160,80,699.382407,804.806624,927.482537,0.054639251,0.062875517,0.072459573
an=2bn,162,81,709.965226,827.638980,966.685245,0.054104955,0.063072625,0.073669048
an=2bn,164,82,728.188469,842.225446,970.829897,0.054148458,0.062628305,0.072191396
an=2bn,166,83,743.112451,858.768182,985.593750,0.053934711,0.062328943,0.071533876
an=2bn,168,84,764.761179,870.554688,1005.630984,0.054192260,0.061688966,0.071260699
an=2bn,170,85,785.951823,893.134524,1033.815247,0.054391130,0.061808618,0.071544308
an=2bn,172,86,795.078125,911.537925,1047.793056,0.053750549,0.061623710,0.070835117
an=2bn,174,87,818.520109,922.902574,1062.978230,0.054070558,0.060965951,0.070219199
an=2bn,176,88,830.474558,950.224116,1094.601744,0.053620516,0.061352280,0.070674183
an=2bn,178,89,856.055682,981.324219,1135.099398,0.054037096,0.061944465,0.071651269
an=2bn,180,90,857.094602,1043.340278,1133.479292,0.052907074,0.064403721,0.069967858
an=2bn,182,91,879.363610,1003.705785,1153.793064,0.053095255,0.060602933,0.069665081
