an,bn,ratio,gmp_ns,simd_ns,speedup
135,108,0.8000,2445.2,747.4,3.2717
135,135,1.0000,2953.7,890.8,3.3158
136,17,0.1250,675.4,156.8,4.3074
136,27,0.2000,1069.2,218.8,4.8857
136,34,0.2500,1216.7,258.6,4.7044
136,45,0.3333,1536.0,323.2,4.7519
136,54,0.4000,1676.7,378.4,4.4306
136,68,0.5000,1798.0,464.1,3.8740
136,88,0.6500,2250.7,575.7,3.9096
136,109,0.8000,2521.7,759.5,3.3201
136,136,1.0000,3005.1,895.5,3.3558
137,17,0.1250,680.0,163.3,4.1647
137,27,0.2000,1078.0,222.1,4.8541
137,34,0.2500,1243.0,260.2,4.7766
137,46,0.3333,1653.6,333.4,4.9602
137,55,0.4000,1739.3,384.8,4.5197
137,69,0.5000,1838.5,656.6,2.7998
137,89,0.6500,2267.4,615.7,3.6827
137,110,0.8000,2534.0,800.5,3.1656
137,137,1.0000,3063.1,906.6,3.3788
138,17,0.1250,684.9,164.3,4.1685
138,28,0.2000,1201.1,229.8,5.2275
138,35,0.2500,1314.7,271.4,4.8441
138,46,0.3333,1566.0,335.4,4.6692
138,55,0.4000,1743.2,387.6,4.4969
138,69,0.5000,1851.5,471.7,3.9247
138,90,0.6500,2282.4,620.8,3.6766
138,110,0.8000,2536.3,720.5,3.5201
138,138,1.0000,3042.8,908.4,3.3497
139,17,0.1250,688.3,163.3,4.2152
139,28,0.2000,1200.6,229.1,5.2397
139,35,0.2500,1298.2,272.4,4.7660
139,46,0.3333,1587.2,335.7,4.7275
139,56,0.4000,1754.9,391.4,4.4831
139,70,0.5000,1873.7,638.3,2.9356
139,90,0.6500,2328.2,620.5,3.7519
139,111,0.8000,2522.8,793.0,3.1815
139,139,1.0000,3143.2,923.6,3.4032
140,18,0.1250,734.3,174.6,4.2050
140,28,0.2000,1132.8,228.9,4.9499
140,35,0.2500,1299.6,274.1,4.7406
140,47,0.3333,1669.3,342.9,4.8684
140,56,0.4000,1769.0,398.7,4.4370
140,70,0.5000,1874.6,675.6,2.7746
140,91,0.6500,2353.2,637.2,3.6933
140,112,0.8000,2628.0,791.8,3.3191
140,140,1.0000,3161.2,934.3,3.3834
141,18,0.1250,737.9,174.9,4.2190
141,28,0.2000,1135.1,230.2,4.9308
141,35,0.2500,1300.7,276.4,4.7053
141,47,0.3333,1644.4,343.5,4.7877
141,56,0.4000,1805.9,400.4,4.5101
141,71,0.5000,1922.9,653.8,2.9409
141,92,0.6500,2397.2,643.5,3.7252
141,113,0.8000,2652.4,819.4,3.2371
141,141,1.0000,3170.9,940.0,3.3734
142,18,0.1250,741.6,175.5,4.2251
142,28,0.2000,1142.1,232.4,4.9134
142,36,0.2500,1347.4,282.5,4.7702
142,47,0.3333,1650.8,346.7,4.7608
142,57,0.4000,1813.6,412.4,4.3979
142,71,0.5000,1924.3,654.1,2.9420
142,92,0.6500,2398.4,640.3,3.7458
142,114,0.8000,2635.5,824.2,3.1978
142,142,1.0000,3234.1,932.3,3.4691
143,18,0.1250,748.2,173.3,4.3184
143,29,0.2000,1292.5,238.6,5.4174
143,36,0.2500,1340.5,283.3,4.7317
143,48,0.3333,1719.4,359.3,4.7856
143,57,0.4000,1826.5,415.2,4.3992
143,72,0.5000,1940.8,637.4,3.0451
143,93,0.6500,2440.4,645.0,3.7835
143,114,0.8000,2658.4,799.7,3.3242
143,143,1.0000,3266.3,908.3,3.5958
144,18,0.1250,755.3,176.8,4.2709
144,29,0.2000,1297.0,243.1,5.3349
144,36,0.2500,1335.4,286.5,4.6614
144,48,0.3333,1676.8,361.9,4.6340
144,58,0.4000,1864.8,424.6,4.3922
144,72,0.5000,1959.4,515.4,3.8016
144,94,0.6500,2466.6,659.0,3.7427
144,115,0.8000,2751.5,797.9,3.4484
144,144,1.0000,3301.1,961.4,3.4335
145,18,0.1250,760.6,180.0,4.2253
145,29,0.2000,1232.7,243.8,5.0561
145,36,0.2500,1369.8,287.1,4.7706
145,48,0.3333,1698.2,364.4,4.6605
145,58,0.4000,1926.6,426.8,4.5138
145,73,0.5000,2036.9,671.3,3.0341
145,94,0.6500,2506.9,659.4,3.8018
145,116,0.8000,2741.2,770.3,3.5584
145,145,1.0000,3376.2,966.2,3.4941
146,18,0.1250,766.2,180.3,4.2487
146,29,0.2000,1239.5,243.7,5.0868
146,37,0.2500,1424.4,296.6,4.8028
146,49,0.3333,1833.2,371.7,4.9317
146,58,0.4000,1940.6,430.2,4.5109
146,73,0.5000,2042.4,526.4,3.8800
146,95,0.6500,2531.4,668.6,3.7860
146,117,0.8000,2766.2,774.5,3.5716
146,146,1.0000,3383.6,982.6,3.4434
147,18,0.1250,769.5,180.4,4.2654
147,29,0.2000,1237.6,246.6,5.0188
147,37,0.2500,1447.6,297.6,4.8646
147,49,0.3333,1765.5,373.8,4.7232
147,59,0.4000,1952.9,435.6,4.4834
147,74,0.5000,2080.5,708.5,2.9365
147,96,0.6500,2575.1,681.1,3.7810
147,118,0.8000,2856.5,884.6,3.2290
147,147,1.0000,3406.8,989.7,3.4421
148,19,0.1250,818.2,186.2,4.3940
148,30,0.2000,1331.4,257.6,5.1693
148,37,0.2500,1432.5,303.3,4.7224
148,49,0.3333,1782.7,382.0,4.6672
148,59,0.4000,1955.7,440.5,4.4396
148,74,0.5000,2069.1,546.2,3.7882
148,96,0.6500,2590.0,687.2,3.7691
148,118,0.8000,2838.8,845.4,3.3578
148,148,1.0000,3470.5,1006.9,3.4468
149,19,0.1250,822.4,185.4,4.4345
149,30,0.2000,1393.5,258.1,5.3988
149,37,0.2500,1458.3,305.0,4.7813
149,50,0.3333,1881.6,390.1,4.8240
149,60,0.4000,2002.1,448.5,4.4637
149,75,0.5000,2132.1,687.4,3.1016
149,97,0.6500,2646.7,687.8,3.8483
149,119,0.8000,2865.2,896.5,3.1960
149,149,1.0000,3513.8,1013.7,3.4665
150,19,0.1250,827.4,192.8,4.2923
150,30,0.2000,1268.6,263.2,4.8203
150,38,0.2500,1468.3,305.7,4.8036
150,50,0.3333,1819.2,390.5,4.6585
150,60,0.4000,2011.8,461.1,4.3633
150,75,0.5000,2129.7,719.0,2.9622
150,98,0.6500,2662.5,743.8,3.5798
150,120,0.8000,2874.1,920.3,3.1229
150,150,1.0000,3509.4,1025.5,3.4223
151,19,0.1250,833.4,194.6,4.2815
151,30,0.2000,1273.5,262.4,4.8525
151,38,0.2500,1475.2,310.5,4.7514
151,50,0.3333,1842.9,387.1,4.7610
151,60,0.4000,2016.2,456.2,4.4200
151,76,0.5000,2147.1,708.7,3.0298
151,98,0.6500,2695.4,744.8,3.6188
151,121,0.8000,2949.7,891.1,3.3103
151,151,1.0000,3617.3,1033.8,3.4990
152,19,0.1250,840.4,193.3,4.3468
152,30,0.2000,1276.3,262.5,4.8615
152,38,0.2500,1471.1,314.0,4.6849
152,51,0.3333,1908.6,400.7,4.7637
152,61,0.4000,2035.5,470.5,4.3263
152,76,0.5000,2146.3,576.5,3.7230
