n,add_ns,gmp_add_ns,sub_ns,gmp_sub_ns,add_ns_per_limb,gmp_add_ns_per_limb,sub_ns_per_limb,gmp_sub_ns_per_limb,reps
136,17.786353848,26.713379404,17.264392566,26.723669309,0.130782013587,0.196421907383,0.126944062983,0.196497568450,8823
137,18.106013922,26.957777017,17.441602923,26.969292237,0.132160685563,0.196772095015,0.127310970239,0.196856147719,8759
138,18.425137994,27.114788004,17.589608001,27.294814304,0.133515492714,0.196483971044,0.127460927543,0.197788509448,8695
139,18.831635016,27.402407965,17.930615082,27.280504746,0.135479388606,0.197139625646,0.128997230803,0.196262624075,8633
140,20.033469388,38.366542231,27.704044760,28.577689707,0.143096209913,0.274046730218,0.197886034003,0.204126355053,8571
141,19.398120963,27.573778195,18.626879699,27.658407703,0.137575325979,0.195558710606,0.132105529782,0.196158919880,8510
142,19.420953057,27.865555161,18.653145695,27.933767002,0.136767275047,0.196236303954,0.131360180953,0.196716669027,8450
143,19.322457728,27.836170973,18.633754169,27.845228166,0.135122082014,0.194658538271,0.130305973207,0.194721875289,8391
144,18.903813864,28.111550918,18.383775351,28.294844125,0.131276485168,0.195219103594,0.127665106604,0.196491973088,8333
145,19.044460553,28.292320695,18.569669162,27.871466538,0.131341107264,0.195119453072,0.128066683876,0.192217010606,8275
146,19.195985401,28.688564477,18.726631822,28.658803502,0.131479352065,0.196497016965,0.128264601521,0.196293174671,8219
147,19.442920137,28.715509854,18.797037581,28.639157585,0.132264762838,0.195343604451,0.127871003953,0.194824201261,8163
148,20.111028959,28.903858006,19.524349649,28.998643650,0.135885330802,0.195296337876,0.131921281410,0.195936781418,8108
149,20.193572404,28.974056604,19.547326634,29.144700918,0.135527331567,0.194456755730,0.131190111640,0.195602019586,8053
150,20.230826880,29.073694729,19.561054868,29.445083094,0.134872179199,0.193824631526,0.130407032454,0.196300553959,8000
151,20.242237586,29.488866524,19.580596451,29.515776241,0.134054553552,0.195290506782,0.129672824182,0.195468716830,7947
152,20.029367089,29.593061535,19.384829682,29.745316456,0.131772151899,0.194691194306,0.127531774225,0.195692871419,7894
153,20.306281055,29.984584023,19.634625191,29.514842655,0.132720791209,0.195977673356,0.128330883603,0.192907468334,7843
154,20.548076923,30.183369691,19.670600308,30.120205260,0.133429070929,0.195995907083,0.127731170830,0.195585748440,7792
155,20.628471774,30.044415752,19.890796437,30.130990828,0.133086914669,0.193834940336,0.128327718951,0.194393489213,7741
156,21.373652072,30.436370727,20.647142857,30.399532407,0.137010590207,0.195104940555,0.132353479853,0.194868797480,7692
157,21.422291994,30.635269492,20.664530473,30.553956835,0.136447719705,0.195129105047,0.131621213207,0.194611190029,7643
158,21.450933965,30.843470247,20.668201552,30.871875822,0.135765404840,0.195211837009,0.130811402231,0.195391619128,7594
159,21.401641514,30.505693856,20.629899364,30.965160948,0.134601518959,0.191859709786,0.129747794745,0.194749439927,7547
160,20.816413536,31.148800000,20.002133049,31.336710211,0.130102584599,0.194680000000,0.125013331556,0.195854438816,7500
161,21.004291845,31.328060062,20.196833490,31.407293203,0.130461440034,0.194584223986,0.125446170745,0.195076355297,7453
162,21.254218982,31.771794872,20.354281861,31.753068105,0.131198882605,0.196122190567,0.125643715192,0.196006593242,7407
163,21.490363735,31.849633252,20.568539631,31.806543579,0.131842722301,0.195396523017,0.126187359698,0.195132169194,7361
164,22.231630702,32.019254404,21.339890710,32.140770071,0.135558723793,0.195239356122,0.130121284819,0.195980305311,7317
165,22.190181518,32.096042869,21.395959318,32.214020619,0.134485948595,0.194521471933,0.129672480717,0.195236488597,7272
166,22.154250173,32.321576763,21.392536282,32.387913152,0.133459338390,0.194708293756,0.128870700494,0.195107910552,7228
167,22.148477687,32.433064292,21.425549680,32.452685778,0.132625614890,0.194209965818,0.128296704670,0.194327459748,7185
168,21.911151532,32.665873460,21.140979021,32.846067730,0.130423521024,0.194439722978,0.125839160839,0.195512307918,7142
169,22.249436620,32.929084002,21.368880135,33.121463758,0.131653471123,0.194846650898,0.126443077722,0.195984992650,7100
170,22.449115357,33.314305949,21.564491009,33.350184084,0.132053619749,0.195966505582,0.126849947115,0.196177553434,7058
171,22.835874056,33.386434882,21.788439636,33.422304515,0.133543123135,0.195242309250,0.127417775646,0.195452073187,7017
172,23.602407912,47.243014759,34.220504009,47.246275072,0.137223301812,0.274668690457,0.198956418658,0.274687645765,6976
173,34.743223760,48.172866205,33.702044931,48.156096858,0.200827883006,0.278455874019,0.194809508271,0.278358941375,6936
174,34.685788787,48.025785890,22.802723059,34.480289855,0.199343613721,0.276010263737,0.131050132524,0.198162585374,6896
175,23.673859163,34.311580481,22.659524851,34.279533867,0.135279195218,0.196066174175,0.129482999146,0.195883050671,6857
176,23.161900572,34.408004691,22.413479853,33.547706288,0.131601707795,0.195500026656,0.127349317349,0.190611967543,6818
177,23.276492262,34.558273169,22.555784819,34.685002212,0.131505606002,0.195244481182,0.127433812539,0.195960464475,6779
