n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
319,4.538558,1.612853,1.165204,2.813994,3.895077,1.384181
320,4.539375,1.649063,0.845625,2.752700,5.368071,1.950111
321,4.541121,1.648598,0.843925,2.754535,5.380952,1.953488
322,4.542857,1.645342,0.841304,2.761042,5.399779,1.955703
323,4.546440,1.643034,0.841486,2.767100,5.402870,1.952539
324,4.545370,1.628704,0.837963,2.790790,5.424309,1.943646
325,4.537846,1.625538,0.835385,2.791596,5.432044,1.945856
326,4.537730,1.622393,0.831902,2.796937,5.454646,1.950221
327,4.535780,1.625688,0.828440,2.790068,5.475083,1.962348
328,4.535061,1.652058,0.826029,2.745098,5.490196,2.000000
329,4.537424,1.646087,0.824468,2.756492,5.503456,1.996544
330,4.535038,1.644886,0.823864,2.757052,5.504598,1.996552
331,4.543051,1.798527,1.002644,2.525984,4.531073,1.793785
332,4.539721,1.757342,0.937500,2.583289,4.842369,1.874498
333,4.542980,1.631006,0.950638,2.785386,4.778875,1.715696
334,4.565868,1.846931,0.989895,2.472138,4.612476,1.865784
335,4.546642,1.632463,0.973881,2.785143,4.668582,1.676245
336,4.552641,1.662946,0.979353,2.737696,4.648623,1.698006
337,4.548405,1.656157,1.097923,2.746361,4.142736,1.508446
338,4.700444,1.653107,1.003143,2.843400,4.685714,1.647926
339,4.561209,1.646386,1.020465,2.770437,4.469738,1.613369
340,4.558824,1.642463,1.021140,2.775602,4.464446,1.608461
341,4.548204,1.639479,1.038306,2.774176,4.380406,1.578994
342,4.542334,1.631388,1.042143,2.784337,4.358646,1.565416
343,4.548105,1.658005,1.054316,2.743119,4.313796,1.572588
344,4.545311,1.660768,1.062626,2.736872,4.277431,1.562890
345,4.551040,1.656900,1.079395,2.746720,4.216287,1.535026
346,4.554850,1.653996,1.087585,2.753846,4.188042,1.520797
347,4.544543,1.648290,1.093848,2.757127,4.154639,1.506873
348,4.545540,1.641679,1.109445,2.768836,4.097128,1.479730
349,4.549333,1.636041,1.117479,2.780697,4.071070,1.464047
350,4.545652,1.633230,1.127329,2.783229,4.032231,1.448760
351,4.545708,1.630435,1.142698,2.788034,3.978049,1.426829
352,4.551322,1.664711,0.853199,2.734001,5.334419,1.951140
353,4.554132,1.659995,0.850782,2.743461,5.352877,1.951140
354,4.551400,1.654385,0.847458,2.751114,5.370652,1.952174
355,4.551439,1.652480,0.846908,2.754308,5.374187,1.951193
356,4.571629,1.650586,0.844529,2.769700,5.413232,1.954447
357,4.559778,1.644385,0.842246,2.772938,5.413832,1.952381
358,4.551803,1.638840,0.839893,2.777455,5.419501,1.951247
359,4.556217,1.662763,0.837554,2.740148,5.439909,1.985261
360,4.551136,1.668561,0.835227,2.727582,5.448980,1.997732
361,4.702846,1.786704,0.978343,2.632135,4.806950,1.826255
362,4.733174,1.791185,0.971873,2.642482,4.870155,1.843023
363,4.552968,1.657588,0.921300,2.746742,4.941896,1.799185
364,4.561064,1.651161,0.936563,2.762337,4.870000,1.763000
365,4.562578,1.649440,0.948941,2.766138,4.808071,1.738189
366,4.557563,1.643070,0.955663,2.773810,4.769006,1.719298
367,4.564652,1.650669,0.969780,2.765335,4.706897,1.702107
368,4.559659,1.672122,0.970850,2.726870,4.696565,1.722328
369,4.561160,1.669438,0.989468,2.732153,4.609711,1.687208
370,4.561732,1.664005,0.995086,2.741417,4.584259,1.672222
371,4.560463,1.659520,1.008944,2.748062,4.520036,1.644809
372,4.562867,1.654142,1.010814,2.758449,4.514053,1.636446
373,4.571046,1.657411,1.035044,2.757943,4.416281,1.601295
374,4.572193,1.653934,1.036096,2.764434,4.412903,1.596313
375,4.567619,1.650476,1.047619,2.767455,4.360000,1.575455
376,4.564020,1.675532,1.053381,2.723923,4.332732,1.590622
377,4.570860,1.672035,1.063850,2.733711,4.296527,1.571683
378,4.559713,1.666667,1.074263,2.735828,4.244503,1.551451
379,4.560874,1.665096,1.085564,2.739106,4.201389,1.533854
380,4.560150,1.659774,1.093045,2.747452,4.171969,1.518487
381,4.561305,1.653543,1.105174,2.758503,4.127226,1.496183
382,4.558714,1.648280,1.114435,2.765740,4.090604,1.479027
383,4.554271,1.646774,1.119918,2.765572,4.066611,1.470441
384,4.563802,1.673177,0.856585,2.727626,5.327904,1.953312
385,4.563080,1.678108,0.854360,2.719182,5.340934,1.964169
386,4.568838,1.669134,0.853072,2.737251,5.355748,1.956616
387,4.568106,1.668512,0.851790,2.737832,5.362947,1.958830
388,4.571060,1.659610,0.847754,2.754298,5.391965,1.957655
389,4.559310,1.655343,0.844657,2.754298,5.397826,1.959783
390,4.572344,1.658425,0.846154,2.757040,5.403680,1.959957
391,4.570013,1.666880,0.843031,2.741657,5.420933,1.977247
392,4.566008,1.680804,0.838967,2.716562,5.442417,2.003421
393,4.562977,1.673664,0.838740,2.726340,5.440273,1.995449
394,4.561865,1.669416,0.839467,2.732611,5.434240,1.988662
395,4.565506,1.666139,0.911392,2.740171,5.009375,1.828125
396,4.557765,1.659091,0.928977,2.747146,4.906218,1.785933
397,4.560453,1.656801,0.942695,2.752566,4.837675,1.757515
398,4.557475,1.654523,0.948807,2.754556,4.803376,1.743793
399,4.556391,1.656955,0.959586,2.749858,4.748286,1.726738
400,4.561875,1.678125,0.962812,2.718436,4.738072,1.742941
401,4.562656,1.676746,0.978180,2.721138,4.664436,1.714149
402,4.567164,1.675373,0.981343,2.726058,4.653992,1.707224
403,4.570720,1.672146,0.998449,2.733445,4.577819,1.674744
404,4.569616,1.667079,0.996906,2.741091,4.583799,1.672253
405,4.562963,1.663889,1.017593,2.742348,4.484076,1.635123
406,4.561884,1.658867,1.018781,2.750000,4.477788,1.628286
407,4.573710,1.671376,1.034705,2.736494,4.420303,1.615316
408,4.571691,1.684743,1.037684,2.713584,4.405669,1.623561
409,4.567848,1.679707,1.047066,2.719432,4.362522,1.604203
410,4.560655,1.674262,1.055199,2.723979,4.322080,1.586679
411,4.561083,1.668267,1.065117,2.734024,4.282236,1.566276
412,4.560552,1.666134,1.074987,2.737205,4.242424,1.549911
413,4.563846,1.662100,1.078119,2.745831,4.233156,1.541667
414,4.559497,1.662853,1.090770,2.741972,4.180070,1.524476
415,4.564680,1.659797,1.102410,2.750143,4.140638,1.505608
416,4.569838,1.685223,0.857794,2.711712,5.327434,1.964602
417,4.568345,1.679288,0.857630,2.720406,5.326711,1.958057
418,4.570637,1.676215,0.856522,2.726761,5.336273,1.957001
419,4.573860,1.673157,0.854478,2.733671,5.352811,1.958104
420,4.573308,1.669173,0.852444,2.739865,5.364939,1.958104
421,4.569009,1.670834,0.852294,2.734568,5.360836,1.960396
422,4.566600,1.666875,0.847468,2.739618,5.388521,1.966887
423,4.569802,1.680664,0.846398,2.719045,5.399118,1.985667
424,4.571127,1.686941,0.845333,2.709713,5.407489,1.995595
425,4.572446,1.682972,0.845201,2.716887,5.409890,1.991209
426,4.572832,1.681801,0.839511,2.719008,5.447020,2.003311
427,4.563971,1.675089,0.913349,2.724614,4.996964,1.834008
428,4.565298,1.671176,0.928738,2.731788,4.915591,1.799404
